,player_name,goals_scored,assists,minutes,position_index,clean_sheets,total_points,ict,ict_pred
44720,Serge Aurier,1,0,726,2,3,37,37.1,31.768615664372497
44721,César Azpilicueta,3,12,7650,2,36,389,349.8,352.65868054856185
44722,Rekeem Harper,0,0,20,3,0,1,2.7,1.4211123132213643
44723,Rajiv van La Parra,3,0,2536,4,7,84,125.3,114.00454163368008
44724,Jamie Vardy,19,8,3676,5,10,213,278.2,325.90491421757724
44725,Philip Billing,2,0,2942,3,8,85,140.6,110.978353006426
44726,Roberto Firmino,28,21,6233,5,31,391,712.1,716.1255634511268
44727,James Milner,8,8,5069,3,20,236,385.6,341.47399535270335
44728,James Ward-Prowse,13,9,5148,3,14,256,422.1,371.7993001101169
44729,Matteo Darmian,0,0,2046,2,13,108,51.5,69.01377030181435
44730,Nacho Monreal,4,5,5076,2,20,227,212.7,241.77558427741258
44731,Ashley Westwood,0,6,3127,3,7,107,130.7,149.4697259632942
44732,Artur Boruc,0,0,3150,1,9,120,82.4,78.77893609552139
44733,Dominic Calvert-Lewin,5,8,2218,5,6,106,144.3,190.83482199996877
44734,Pablo Zabaleta,0,2,3739,2,11,110,118.5,123.31703721828349
44735,Mohamed Elneny,0,2,957,3,4,37,45.9,49.53796236838346
44736,John Stones,0,0,727,2,0,21,20.0,22.25005765937684
44737,Mathew Ryan,0,0,1980,1,8,88,49.8,47.921951905005876
44738,Leon Britton,0,0,59,3,0,3,0.5,2.5847546180586782
44739,Jonathan Hogg,0,0,1548,3,4,35,39.7,50.040993351917265
44740,Albert Adomah,0,0,122,4,0,3,6.0,5.442553662695621
44741,Andy Carroll,10,3,2054,5,6,105,178.0,172.6760700399255
44742,Jefferson Lerma,1,1,1019,3,4,31,40.3,53.90823833618936
44743,Kyle Walker,0,6,2611,2,14,140,138.4,131.40222043763373
44744,Leighton Baines,0,1,450,2,2,21,22.3,20.75673930540759
44745,Isaac Success,1,1,519,4,1,28,46.8,34.40553469645806
44746,Alfie Mawson,6,1,5130,2,16,196,202.0,212.47990554492026
