player_name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,GW,club_name,position_index,position,season
Joshua King,0,19,0,0,0,4,0,0,15,2.4,1,0,45,0,0,152,1,4,0,1.9,4.4,0,2018-12-08T12:30:00Z,08 Dec 12:30,0,0,90,0,0,12,0,0,0,0,6,0,16,0,153190,3,0,1,4,0,12,2,-4909,8063,12972,63,True,0,0,16,AFC Bournemouth,5,Second Striker,2018/2019
Josh Murphy,0,7,0,0,0,2,1,1,4,4.6,1,0,106,0,0,154,1,0,0,3.8,6,0,2018-12-08T15:00:00Z,08 Dec 15:00,0,0,84,1,1,16,0,0,0,0,3,0,16,0,37273,5,0,0,0,1,27,3,3497,5581,2084,48,True,0,0,16,Cardiff City,4,Left Winger,2018/2019
José Holebas,0,19,0,0,0,14,0,7,11,0.7,1,0,378,0,0,156,1,2,0,3.2,23.6,0,2018-12-10T20:00:00Z,10 Dec 20:00,0,0,90,1,0,8,0,0,0,0,5,0,16,0,650176,3,4,0,2,2,8,1,-5754,13048,18802,47,False,0,0,16,Watford FC,2,Left-Back,2018/2019
Juan Foyth,0,0,0,0,0,0,0,0,0,0,0,0,549,0,0,157,0,0,0,0,0,0,2018-12-08T19:45:00Z,08 Dec 19:45,0,0,0,0,0,11,0,0,0,0,0,0,16,0,41542,0,0,0,2,0,0,0,-1503,8773,10276,50,False,0,0,16,Tottenham Hotspur,2,Centre-Back,2018/2019
Juan Mata,1,51,2,0,3,51,0,0,46,36.7,1,0,297,0,0,158,2,1,1,12.1,53.2,3,2018-12-08T15:00:00Z,08 Dec 15:00,0,0,90,1,0,9,0,0,0,0,9,0,16,0,64800,0,0,1,1,4,31,13,-1614,1236,2850,62,True,1,0,16,Manchester United,4,Attacking Midfield,2018/2019
Juninho Bacuna,0,15,0,0,0,-3,0,1,9,10.7,0,0,208,0,0,151,3,1,0,1.5,4.6,1,2018-12-08T15:00:00Z,08 Dec 15:00,0,0,38,0,0,1,0,0,0,0,2,0,16,0,9799,1,0,0,0,1,0,0,-274,135,409,43,False,0,1,16,Huddersfield Town,3,Central Midfield,2018/2019
Junior Stanislas,0,29,0,0,0,6,0,1,23,16.7,0,0,36,0,0,152,1,4,0,4.1,6.8,1,2018-12-08T12:30:00Z,08 Dec 12:30,0,0,82,0,0,12,0,0,0,0,2,0,16,0,4647,0,0,0,4,0,17,2,-251,99,350,60,True,0,0,16,AFC Bournemouth,4,Left Winger,2018/2019
Jürgen Locadia,0,9,0,1,0,-3,0,1,7,12,0,0,65,0,0,153,1,0,0,2,0,1,2018-12-08T15:00:00Z,08 Dec 15:00,0,0,27,0,0,4,0,0,0,0,0,0,16,0,5896,1,0,2,0,1,10,1,-82,48,130,53,False,0,0,16,Brighton & Hove Albion,5,Centre-Forward,2018/2019
Kadeem Harris,0,2,0,0,0,2,0,0,2,0.5,0,0,535,0,0,154,0,0,0,0.5,0,0,2018-12-08T15:00:00Z,08 Dec 15:00,0,0,5,0,0,16,0,0,0,0,0,0,16,0,1523,1,0,0,0,1,4,1,-80,76,156,45,True,0,0,16,Cardiff City,3,Right Midfield,2018/2019
Karl Darlow,0,0,0,0,0,0,0,0,0,0,0,0,308,0,0,159,0,0,0,0,0,0,2018-12-09T16:00:00Z,09 Dec 16:00,0,0,0,0,0,20,0,0,0,0,0,0,16,0,4052,0,0,0,2,1,0,0,-72,7,79,44,True,0,0,16,Newcastle United,1,Goalkeeper,2018/2019
Kasper Schmeichel,0,37,0,0,0,7,0,0,25,0,0,0,213,0,1,157,0,2,0,0.2,2,0,2018-12-08T19:45:00Z,08 Dec 19:45,0,0,90,0,0,17,0,0,0,0,7,0,16,0,295525,0,0,0,2,0,0,1,-4885,1621,6506,50,True,0,0,16,Leicester City,1,Goalkeeper,2018/2019
Kelechi Iheanacho,0,11,0,0,0,4,0,0,10,2,2,0,236,0,0,157,0,1,0,0.6,1.6,0,2018-12-08T19:45:00Z,08 Dec 19:45,0,0,55,1,0,17,0,0,0,0,2,0,16,0,74330,0,0,0,2,0,2,1,-4626,1818,6444,59,True,0,0,16,Leicester City,5,Centre-Forward,2018/2019
Kenneth Zohore,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,154,0,0,0,0,0,0,2018-12-08T15:00:00Z,08 Dec 15:00,0,0,0,0,0,16,0,0,0,0,0,0,16,0,15656,0,0,0,0,1,0,0,-703,38,741,46,True,0,0,16,Cardiff City,5,Centre-Forward,2018/2019
Ken Sema,0,15,1,0,0,8,0,0,11,15.6,3,0,446,0,0,156,0,1,0,4.8,10.6,1,2018-12-10T20:00:00Z,10 Dec 20:00,0,0,59,0,1,8,0,0,0,0,2,0,16,0,2947,3,0,0,2,2,22,1,-58,14,72,46,False,0,0,16,Watford FC,3,Left Midfield,2018/2019
Kepa Arrizabalaga,0,31,0,0,0,26,1,0,21,0,0,0,498,0,1,155,0,0,0,2.4,24.2,0,2018-12-08T17:30:00Z,08 Dec 17:30,0,0,90,0,0,13,0,0,0,0,5,0,16,4,316820,0,0,0,0,2,0,7,-12548,3426,15974,55,True,0,0,16,Chelsea FC,1,Goalkeeper,2018/2019
Kevin De Bruyne,0,0,0,0,0,0,0,0,0,0,0,0,273,0,0,155,0,0,0,0,0,0,2018-12-08T17:30:00Z,08 Dec 17:30,0,0,0,0,0,6,0,0,0,0,0,0,16,0,190311,0,0,0,0,2,0,0,-1070,287,1357,97,False,0,0,16,Manchester City,4,Attacking Midfield,2018/2019
Kevin Long,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,153,0,0,0,0,0,0,2018-12-08T15:00:00Z,08 Dec 15:00,0,0,0,0,0,3,0,0,0,0,0,0,16,0,22913,0,0,0,0,1,0,0,-144,536,680,42,True,0,0,16,Burnley FC,2,Centre-Back,2018/2019
Kevin McDonald,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,158,0,0,0,0,0,0,2018-12-08T15:00:00Z,08 Dec 15:00,0,0,0,0,0,14,0,0,0,0,0,0,16,0,13806,0,0,0,1,4,0,0,-355,167,522,43,False,0,0,16,Fulham FC,3,Defensive Midfield,2018/2019
Kieran Dowell,0,0,0,0,0,0,0,0,0,0,0,0,528,0,0,156,0,0,0,0,0,0,2018-12-10T20:00:00Z,10 Dec 20:00,0,0,0,0,0,18,0,0,0,0,0,0,16,0,426,0,0,0,2,2,0,0,-4,21,25,45,True,0,0,16,Everton FC,4,Attacking Midfield,2018/2019
Kieran Trippier,0,0,0,0,0,0,0,0,0,0,0,0,357,0,0,157,0,0,0,0,0,0,2018-12-08T19:45:00Z,08 Dec 19:45,0,0,0,0,0,11,0,0,0,0,0,0,16,0,1114976,0,0,0,2,0,0,0,-52163,25624,77787,61,False,0,0,16,Tottenham Hotspur,2,Right-Back,2018/2019
Konstantinos Mavropanos,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,151,0,0,0,0,0,0,2018-12-08T15:00:00Z,08 Dec 15:00,0,0,0,0,0,10,0,0,0,0,0,0,16,0,5824,0,0,0,0,1,0,0,-52,20,72,47,True,0,0,16,Arsenal FC,2,Centre-Back,2018/2019
Kortney Hause,0,0,0,0,0,0,0,0,0,0,0,0,525,0,0,159,0,0,0,0,0,0,2018-12-09T16:00:00Z,09 Dec 16:00,0,0,0,0,0,15,0,0,0,0,0,0,16,0,17588,0,0,0,2,1,0,0,-76,420,496,40,False,0,0,16,Wolverhampton Wanderers,2,Centre-Back,2018/2019
Kurt Zouma,0,0,0,0,0,0,0,0,0,0,0,0,526,0,0,156,0,0,0,0,0,0,2018-12-10T20:00:00Z,10 Dec 20:00,0,0,0,0,0,18,0,0,0,0,0,0,16,0,14780,0,0,0,2,2,0,0,208,656,448,50,True,0,0,16,Chelsea FC,2,Centre-Back,2018/2019
Kyle Walker-Peters,0,6,0,0,0,4,0,3,4,0,0,0,358,0,0,157,0,0,0,0.7,7.4,0,2018-12-08T19:45:00Z,08 Dec 19:45,0,0,12,0,0,11,0,0,0,0,1,0,16,0,18476,0,0,0,2,0,0,1,-99,191,290,42,False,0,0,16,Tottenham Hotspur,2,Right-Back,2018/2019
Kyle Walker,0,82,0,0,0,18,0,0,73,14.2,1,0,265,0,0,155,0,2,0,3.8,16.2,1,2018-12-08T17:30:00Z,08 Dec 17:30,0,0,90,0,0,6,0,0,0,0,3,0,16,0,812317,0,3,1,0,2,8,1,-14118,11419,25537,65,False,0,0,16,Manchester City,2,Right-Back,2018/2019
Laurent Depoitre,0,31,0,0,0,-2,0,1,17,2.4,0,0,210,0,0,151,3,1,0,2.8,0,0,2018-12-08T15:00:00Z,08 Dec 15:00,0,0,90,0,0,1,0,0,0,0,4,0,16,0,26570,5,0,1,0,1,26,2,-551,661,1212,51,False,0,0,16,Huddersfield Town,5,Centre-Forward,2018/2019
Laurent Koscielny,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,151,0,0,0,0,0,0,2018-12-08T15:00:00Z,08 Dec 15:00,0,0,0,0,0,10,0,0,0,0,0,0,16,0,6103,0,0,0,0,1,0,0,85,195,110,54,True,0,0,16,Arsenal FC,2,Centre-Back,2018/2019
Leander Dendoncker,0,0,0,0,0,0,0,0,0,0,0,0,519,0,0,159,0,0,0,0,0,0,2018-12-09T16:00:00Z,09 Dec 16:00,0,0,0,0,0,15,0,0,0,0,0,0,16,0,22241,0,0,0,2,1,0,0,-390,589,979,43,False,0,0,16,Wolverhampton Wanderers,3,Defensive Midfield,2018/2019
Lee Grant,0,0,0,0,0,0,0,0,0,0,0,0,520,0,0,158,0,0,0,0,0,0,2018-12-08T15:00:00Z,08 Dec 15:00,0,0,0,0,0,9,0,0,0,0,0,0,16,0,1124,0,0,0,1,4,0,0,-4,22,26,49,True,0,0,16,Manchester United,1,Goalkeeper,2018/2019
Lee Peltier,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,154,0,0,0,0,0,0,2018-12-08T15:00:00Z,08 Dec 15:00,0,0,0,0,0,16,0,0,0,0,0,0,16,0,174959,0,0,0,0,1,0,0,7000,14331,7331,38,True,0,0,16,Cardiff City,2,Right-Back,2018/2019
