,GW,player_name,goals_scored,assists,minutes,position_index,clean_sheets,total_points,fpl_pred
3092,16,Jannik Vestergaard,0,0,720,2,2,17,20.430039314330145
3093,37,Eden Hazard,15,9,2915,4,17,215,217.5525956280377
3094,19,Abdoulaye Doucouré,0,0,97,3,0,3,3.187406621959589
3095,52,Wayne Hennessey,0,0,3420,1,8,122,132.86009974930639
3096,53,Aaron Lennon,0,2,889,4,4,38,31.769084770454512
3097,4,Luciano Narsingh,0,2,59,4,0,9,11.8278163490261
3098,25,Dejan Lovren,2,1,1755,2,6,69,71.90574795727106
3099,43,Fernando Luiz Rosa,2,2,3205,3,12,93,105.80893287690668
3100,16,Ryan Mason,1,0,768,3,0,22,24.030673307500138
3101,30,Loris Karius,0,0,900,1,3,32,37.41637160654759
3102,41,Jason Puncheon,0,6,3346,4,7,95,120.2767437874254
3103,10,Seamus Coleman,1,0,630,2,2,29,24.90146060624994
3104,42,Kyle Walker,1,6,3054,2,16,157,156.3237610679077
3105,89,James Ward-Prowse,7,9,3788,3,11,182,171.0679438528844
3106,95,Chris Smalling,6,1,4889,2,17,210,203.53148334236357
3107,5,Simon Francis,0,0,450,2,1,11,11.629074995040142
3108,20,Antonio Barragán,0,0,1631,2,5,52,49.44984388093306
3109,35,Borja Bastón,1,2,557,5,1,31,29.478115640176668
3110,23,Duncan Watmore,0,5,1025,4,2,43,48.77308538769594
3111,56,Alexis Sánchez,28,15,4360,4,20,332,346.10690421691777
3112,14,Matt Targett,0,0,283,2,0,6,4.647800298493603
3113,41,Yohan Benalouane,0,0,917,2,4,27,32.410906682802676
3114,48,Nampalys Mendy,0,0,269,3,1,6,7.729597009688099
3115,26,Jamie Vardy,7,3,1789,5,3,83,89.44176766056967
3116,15,Marcus Rashford,3,0,755,5,2,31,36.74733031076033
3117,5,Isaac Success,0,0,37,4,0,3,3.3151805758491903
3118,42,Danny Rose,2,3,1530,2,8,84,81.52744254336065
3119,61,James McCarthy,1,1,757,3,0,27,27.670640842081355
3120,32,César Azpilicueta,0,3,2880,2,13,132,120.47717154589463
3121,8,Oliver McBurnie,0,0,5,5,0,1,3.344513380750442
3122,67,Loris Karius,0,0,1800,1,8,83,82.18381942559066
3123,18,Jefferson Montero,0,1,347,4,0,16,16.823148139338997
3124,22,Benik Afobe,3,2,551,5,2,41,39.29362729639108
3125,56,Andy Carroll,7,2,1851,5,6,77,89.57328502567162
3126,90,Willian Borges Da Silva,16,14,4253,4,22,295,273.6067396436828
3127,7,Alex Iwobi,0,3,288,4,3,21,18.63021005271832
3128,23,Cesc Fàbregas,1,7,527,3,2,48,49.88828182936106
3129,22,Craig Gardner,0,1,218,3,1,14,10.402904730380481
3130,23,André Ayew,1,0,501,4,2,24,21.036088455577158
3131,82,James Tomkins,6,0,4720,2,18,192,204.3759880446326
3132,45,Antonio Rüdiger,2,1,2944,2,15,143,137.64738104857167
3133,2,Sam Byram,0,0,129,2,1,6,6.502144637888692
3134,51,Chris Brunt,3,5,2879,3,7,118,106.31989580012419
3135,98,Aaron Ramsey,10,20,3894,3,16,243,225.11939071104678
3136,21,Fernando Llorente,6,2,1272,5,2,66,69.76920880714556
3137,27,Jack Cork,0,1,1776,3,2,38,43.04042670287731
3138,38,Christian Eriksen,8,20,3159,4,16,218,212.48839085693032
3139,67,Davinson Sánchez,1,2,4113,2,18,173,170.3274531472004
3140,4,Jordi Amat,0,0,360,2,1,7,10.166053783677068
3141,106,Tom Cleverley,2,5,4195,3,12,137,131.54198245056767
3142,17,Paulo Gazzaniga,0,0,90,1,1,9,8.599174212887926
3143,19,Floyd Ayité,0,0,161,4,0,7,7.131735690971567
3144,71,Jordan Henderson,2,5,3894,3,18,136,146.2625680745
3145,41,Danilo Luiz da Silva,3,2,1340,2,9,100,87.10801614412385
3146,2,Leon Balogun,0,0,70,2,0,1,1.4181055795626243
3147,8,James Maddison,3,2,639,4,2,42,46.997603710308084
3148,76,Yannick Bolasie,2,5,1896,4,6,80,82.56115133509013
